name,latitude,longitude,weight
id_161,-1.4153795,36.7413103,1
id_162,-1.3775662,36.7284946,1
id_163,-1.3964609,36.7615895,1
id_164,-1.394389,36.7639614,1
id_165,-1.3756479,36.7463762,1
id_166,-1.3909359,36.774393,1
id_167,-1.3528005,36.7125321,1
id_168,-1.4393739,36.6692421,1
id_169,-1.4394955,36.6701018,1
id_170,-1.3691016,36.7402087,1
id_171,-1.3757948,36.746053,1
id_172,-1.3616531,36.7475534,1
id_173,-1.4127467,36.6857083,1
id_174,-1.3857136,36.7449977,1
id_175,-1.4061758,36.7167269,1
id_176,-1.3868167,36.685797,1
id_177,-1.372607,36.7010005,1
id_178,-1.357039,36.674075,1
id_179,-1.4000735,36.7696365,1
id_180,-1.3852652,36.7464097,1
id_181,-1.385524,36.742336,1
id_182,-1.3878402,36.6848022,1
id_183,-1.3768185,36.6958375,1
id_184,-1.3576961,36.669648,1
id_185,-1.43971,36.66466,1
id_186,-1.4101323,36.6844369,1
id_187,-1.4188725,36.6867603,1
id_188,-1.3985856,36.7706932,1
id_189,-1.401773,36.8001447,1
id_190,-1.3854826,36.7465107,1
id_191,-1.3830375,36.7437961,1
id_192,-1.4033175,36.7158579,1
id_193,-1.3874594,36.6851134,1
id_194,-1.3764726,36.6961862,1
id_195,-1.3572456,36.6699269,1
id_196,-1.409706,36.684909,1
id_197,-1.418666,36.687396,1
id_198,-1.3980922,36.7710419,1
id_199,-1.401655,36.800547,1
id_200,-1.3845227,36.7471813,1
id_201,-1.3851984,36.7467628,1
id_202,-1.3826138,36.7442359,1
id_203,-1.3653438,36.7175578,1
id_204,-1.40355,36.716169,1
id_205,-1.3756566781457316,36.74613533093667,1
id_206,-1.3954434,36.9397177,1
id_207,-1.3643438,36.9121378,1
id_208,-1.3648562,36.9172955,1
id_209,-1.3630449,36.9297359,1
id_210,-1.3540686,36.9071583,1
id_211,-1.3983564,36.8330172,1
id_212,-1.3760649,36.9236137,1
id_213,-1.3972159,36.9422315,1
id_214,-1.3997434,36.9441708,1
id_215,-1.4000586,36.9438105,1
id_216,-1.3641283,36.912175,1
id_217,-1.363962,36.9119033,1
id_218,-1.3644387,36.9122415,1
id_219,-1.3651836,36.9127494,1
id_220,-1.3667841,36.9154855,1
id_221,-1.3669446,36.915601,1
id_222,-1.3687122,36.9171009,1
id_223,-1.3713162,36.9199339,1
id_224,-1.3726361,36.9216588,1
id_225,-1.3748754,36.9244006,1
