name,latitude,longitude,weight
id_85,-1.3078684,36.7860504,1
id_86,-1.3071984,36.7863291,1
id_87,-1.3072303,36.788823,1
id_88,-1.3179274,36.7782341,1
id_89,-1.3145037,36.7799739,1
id_90,-1.3140222,36.7795356,1
id_91,-1.3107977,36.7947796,1
id_92,-1.3117185,36.7991031,1
id_93,-1.315541,36.777499,1
id_94,-1.308667,36.7816587,1
id_95,-1.308227,36.7745355,1
id_96,-1.3089588,36.790372,1
id_97,-1.3080325,36.7895837,1
id_98,-1.3079831,36.7892032,1
id_99,-1.3118426,36.7926708,1
id_100,-1.31523,36.8028346,1
id_101,-1.3137747,36.7785538,1
id_102,-1.3065921,36.7834906,1
id_103,-1.3113597,36.7876252,1
id_104,-1.3121487,36.78363,1
id_105,-1.311071,36.7958747,1
id_106,-1.312525,36.7752194,1
id_107,-1.323234,36.7066686,1
id_108,-1.3229455,36.7066145,1
id_109,-1.3229757,36.7071249,1
id_110,-1.3269256,36.7296337,1
id_111,-1.3100272,36.7882765,1
id_112,-1.3120224,36.7923801,1
id_113,-1.3138445,36.7964847,1
id_114,-1.3072492,36.7888229,1
id_115,-1.3072052,36.7825137,1
id_116,-1.3087289,36.7740497,1
id_117,-1.3102797,36.7817648,1
id_118,-1.3156345,36.7753937,1
id_119,-1.3179328,36.7990986,1
id_120,-1.3077733,36.7851718,1
id_121,-1.3112343,36.7974719,1
id_122,-1.3149065,36.8051845,1
id_123,-1.2991136,36.7908621,1
id_124,-1.3118343,36.7783012,1
id_125,-1.3120781,36.7786316,1
id_126,-1.3109282,36.7756314,1
id_127,-1.3100702,36.7736246,1
id_128,-1.3268597,36.7900964,1
id_129,-1.257479,36.804119,1
id_130,-1.2570189,36.803271,1
id_131,-1.2871633,36.7930786,1
id_132,-1.2897392,36.8058059,1
id_133,-1.3142057,36.775841,1
id_134,-1.293483,36.7916908,1
id_135,-1.2885589,36.7986767,1
id_136,-1.2882536,36.7979676,1
id_137,-1.2880134,36.7984243,1
id_138,-1.2890705,36.7982817,1
id_139,-1.2908594,36.79833,1
id_140,-1.294917,36.8000929,1
id_141,-1.322328,36.7744036,1
id_142,-1.3006788,36.787028,1
id_143,-1.2992874,36.7654374,1
id_144,-1.2930186,36.7876109,1
id_145,-1.2926874,36.7881299,1
id_146,-1.2664737,36.7487577,1
id_147,-1.2626076,36.7186457,1
id_148,-1.2646913,36.7465528,1
id_149,-1.2896966,36.7693672,1
id_150,-1.2869594,36.7685189,1
id_151,-1.2937105,36.7743897,1
id_152,-1.2949982,36.784285,1
id_153,-1.2855195,36.7924978,1
id_154,-1.2685833,36.7855657,1
id_155,-1.2696063,36.7897527,1
id_156,-1.3129863,36.7980712,1
id_157,-1.3103038,36.7758087,1
id_158,-1.3104547,36.7739346,1
id_159,-1.3114073,36.7739598,1
id_160,-1.2642019,36.7955096,1
id_161,-1.2586679,36.7895546,1
id_162,-1.3010283,36.7805708,1
id_163,-1.2622794,36.7990178,1
id_164,-1.3138154,36.7815922,1
id_165,-1.2996448,36.7971119,1
id_166,-1.2555575,36.8050415,1
